Rank,Mode,Percentage,Category,Season
Champion 3,Standard,0.72,Standard,18
GC 1,Standard,0.289,Standard,18
GC 2,Standard,0.084,Standard,18
GC 3,Standard,0.02,Standard,18
SL,Standard,0.003,Standard,18
Bronze 1,Doubles,99.999,Standard,18
Bronze 2,Doubles,99.707,Standard,18
Bronze 3,Doubles,98.994,Standard,18
Silver 1,Doubles,97.509,Standard,18
Silver 2,Doubles,94.768,Standard,18
Silver 3,Doubles,90.357,Standard,18
Gold 1,Doubles,84.011,Standard,18
Gold 2,Doubles,75.584,Standard,18
Gold 3,Doubles,65.794,Standard,18
Platinum 1,Doubles,55.557,Standard,18
Platinum 2,Doubles,45.135,Standard,18
Platinum 3,Doubles,36.042,Standard,18
Diamond 1,Doubles,28.49,Standard,18
Diamond 2,Doubles,20.126,Standard,18
Diamond 3,Doubles,14.017,Standard,18
Champion 1,Doubles,9.566,Standard,18
Champion 2,Doubles,4.903,Standard,18
Champion 3,Doubles,2.506,Standard,18
GC 1,Doubles,1.234,Standard,18
GC 2,Doubles,0.425,Standard,18
GC 3,Doubles,0.132,Standard,18
SL,Doubles,0.045,Standard,18
Bronze 1,Rumble,99.997,Extra,18
Bronze 2,Rumble,99.983,Extra,18
Bronze 3,Rumble,99.903,Extra,18
Silver 1,Rumble,99.607,Extra,18
Silver 2,Rumble,98.646,Extra,18
Silver 3,Rumble,96.125,Extra,18
Gold 1,Rumble,90.575,Extra,18
Gold 2,Rumble,80.186,Extra,18
Gold 3,Rumble,64.471,Extra,18
Platinum 1,Rumble,45.081,Extra,18
Platinum 2,Rumble,28.666,Extra,18
Platinum 3,Rumble,16.763,Extra,18
Diamond 1,Rumble,9.592,Extra,18
Diamond 2,Rumble,5.399,Extra,18
Diamond 3,Rumble,3.012,Extra,18
Champion 1,Rumble,1.682,Extra,18
Champion 2,Rumble,0.908,Extra,18
Champion 3,Rumble,0.485,Extra,18
GC 1,Rumble,0.218,Extra,18
GC 2,Rumble,0.068,Extra,18
GC 3,Rumble,0.018,Extra,18
SL,Rumble,0.008,Extra,18
Bronze 1,Hoops,100.0,Extra,18
Bronze 2,Hoops,99.991,Extra,18
Bronze 3,Hoops,99.95,Extra,18
Silver 1,Hoops,99.695,Extra,18
Silver 2,Hoops,98.86,Extra,18
Silver 3,Hoops,95.912,Extra,18
Gold 1,Hoops,89.291,Extra,18
Gold 2,Hoops,77.737,Extra,18
Gold 3,Hoops,61.659,Extra,18
Platinum 1,Hoops,43.667,Extra,18
Platinum 2,Hoops,27.695,Extra,18
Platinum 3,Hoops,17.179,Extra,18
Diamond 1,Hoops,9.854,Extra,18
Diamond 2,Hoops,5.568,Extra,18
Diamond 3,Hoops,3.165,Extra,18
Champion 1,Hoops,1.794,Extra,18
Champion 2,Hoops,0.996,Extra,18
Champion 3,Hoops,0.552,Extra,18
GC 1,Hoops,0.273,Extra,18
GC 2,Hoops,0.089,Extra,18
GC 3,Hoops,0.027,Extra,18
SL,Hoops,0.016,Extra,18
Bronze 1,Dropshot,100.002,Extra,18
Bronze 2,Dropshot,99.957,Extra,18
Bronze 3,Dropshot,99.763,Extra,18
Silver 1,Dropshot,99.152,Extra,18
Silver 2,Dropshot,97.528,Extra,18
Silver 3,Dropshot,94.659,Extra,18
Gold 1,Dropshot,89.55,Extra,18
Gold 2,Dropshot,81.25,Extra,18
Gold 3,Dropshot,69.208,Extra,18
Platinum 1,Dropshot,54.432,Extra,18
Platinum 2,Dropshot,39.231,Extra,18
Platinum 3,Dropshot,26.227,Extra,18
Diamond 1,Dropshot,16.529,Extra,18
Diamond 2,Dropshot,9.896,Extra,18
Diamond 3,Dropshot,5.732,Extra,18
Champion 1,Dropshot,3.241,Extra,18
Champion 2,Dropshot,1.782,Extra,18
Champion 3,Dropshot,0.979,Extra,18
GC 1,Dropshot,0.451,Extra,18
GC 2,Dropshot,0.116,Extra,18
GC 3,Dropshot,0.044,Extra,18
SL,Dropshot,0.024,Extra,18
Bronze 1,Solo Duel,100.001,Standard,17
Bronze 2,Solo Duel,99.957,Standard,17
Bronze 3,Solo Duel,99.729,Standard,17
Silver 1,Solo Duel,98.901,Standard,17
Silver 2,Solo Duel,96.807,Standard,17
Silver 3,Solo Duel,92.486,Standard,17
Gold 1,Solo Duel,85.062,Standard,17
Gold 2,Solo Duel,73.762,Standard,17
Gold 3,Solo Duel,59.175,Standard,17
Platinum 1,Solo Duel,42.864,Standard,17
Platinum 2,Solo Duel,26.714,Standard,17
Platinum 3,Solo Duel,14.771,Standard,17
Diamond 1,Solo Duel,7.603,Standard,17
Diamond 2,Solo Duel,3.691,Standard,17
Diamond 3,Solo Duel,1.8,Standard,17
Champion 1,Solo Duel,0.882,Standard,17
Champion 2,Solo Duel,0.413,Standard,17
Champion 3,Solo Duel,0.197,Standard,17
GC 1,Solo Duel,0.096,Standard,17
GC 2,Solo Duel,0.045,Standard,17
GC 3,Solo Duel,0.022,Standard,17
SL,Solo Duel,0.012,Standard,17
Bronze 1,Standard,99.999,Standard,17
Bronze 2,Standard,99.877,Standard,17
Bronze 3,Standard,99.498,Standard,17
Silver 1,Standard,98.437,Standard,17
Silver 2,Standard,95.874,Standard,17
Silver 3,Standard,90.526,Standard,17
Gold 1,Standard,81.504,Standard,17
Gold 2,Standard,68.933,Standard,17
Gold 3,Standard,55.126,Standard,17
Platinum 1,Standard,42.42,Standard,17
Platinum 2,Standard,31.529,Standard,17
Platinum 3,Standard,23.092,Standard,17
Diamond 1,Standard,16.649,Standard,17
Diamond 2,Standard,10.327,Standard,17
Diamond 3,Standard,6.285,Standard,17
Champion 1,Standard,3.717,Standard,17
Champion 2,Standard,1.557,Standard,17
Champion 3,Standard,0.652,Standard,17
GC 1,Standard,0.262,Standard,17
GC 2,Standard,0.075,Standard,17
GC 3,Standard,0.019,Standard,17
SL,Standard,0.003,Standard,17
Bronze 1,Doubles,99.999,Standard,17
Bronze 2,Doubles,99.768,Standard,17
Bronze 3,Doubles,99.177,Standard,17
Silver 1,Doubles,97.886,Standard,17
Silver 2,Doubles,95.394,Standard,17
